,city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
1770392,Tellin,Tellin,,50.0817,5.2183,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,43.6,2468.0,2468.0,3,Europe/Brussels,False,1056715765
1770393,Kallo,Kallo,Kalloo|Calloo,51.2519,4.2783,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,81.0,2442.0,2442.0,4,Europe/Brussels,False,1056604770
1770394,Godsheide,Godsheide,Godscheid,50.937,5.385,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,459.5,2426.0,2426.0,3,Europe/Brussels,False,1056675045
1770395,Eigenbilzen,Eigenbilzen,Eygenbilsen,50.8756,5.575,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,281.5,2317.0,2317.0,3,Europe/Brussels,False,1056811312
1770396,Fauvillers,Fauvillers,,49.85,5.6667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,32.9,2253.0,2253.0,4,Europe/Brussels,False,1056329153
1770397,Merkem,Merkem,Merckem,50.95,2.85,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,85.0,2245.0,2245.0,4,Europe/Brussels,False,1056220667
1770398,Bellem,Bellem,,51.09,3.4902,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,182.3,2240.0,2240.0,4,Europe/Brussels,False,1056220683
1770399,Opdorp,Opdorp,,51.0274,4.2204,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,440.8,2226.0,2226.0,3,Europe/Brussels,False,1056031472
1770400,Boezinge,Boezinge,Boesinghe,50.8959,2.8558,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,125.1,2216.0,2216.0,3,Europe/Brussels,False,1056428019
1770401,Bever,Bever,,50.7167,3.9333,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,111.4,2204.0,2204.0,3,Europe/Brussels,True,1056985414
1770402,Meerbeek,Meerbeek,,50.8822,4.5856,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,425.0,2188.0,2188.0,3,Europe/Brussels,False,1056331351
1770403,Achterbroek,Achterbroek,,51.4,4.5,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,301.5,2188.0,2188.0,3,Europe/Brussels,False,1056775305
1770404,Vlierzele,Vlierzele,,50.9333,3.9,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,348.2,2169.0,2169.0,3,Europe/Brussels,False,1056225432
1770405,Heffen,Heffen,,51.0333,4.4167,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,309.5,2160.0,2160.0,3,Europe/Brussels,False,1056314868
1770406,Morkhoven,Morkhoven,Morckhoven,51.1167,4.8167,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,412.4,2157.0,2157.0,3,Europe/Brussels,False,1056988365
1770407,Everbeek,Everbeek,Everbecq,50.7626,3.8083,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,155.0,2133.0,2133.0,3,Europe/Brussels,False,1056969522
1770408,Hansbeke,Hansbeke,,51.0757,3.5344,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,213.0,2107.0,2107.0,3,Europe/Brussels,False,1056299540
1770409,Aaigem,Aaigem,,50.8891,3.372,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,286.6,2098.0,2098.0,3,Europe/Brussels,False,1056946307
1770410,Rouvroy,Rouvroy,,49.5383,5.4908,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,70.0,2082.0,2082.0,4,Europe/Brussels,True,1056893719
1770411,Nukerke,Nukerke,,50.7969,3.5947,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,174.0,2078.0,2078.0,4,Europe/Brussels,False,1056170949
1770412,Wortegem,Wortegem,,50.8519,3.5106,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,130.8,2064.0,2064.0,4,Europe/Brussels,False,1056034672
1770413,Hokelbeke,Hokelbeke,,50.8333,3.6833,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,182.9,2048.0,2048.0,3,Europe/Brussels,False,1056296851
1770414,Oppuurs,Oppuurs,Oppuers,51.0664,4.2422,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,427.6,2048.0,2048.0,3,Europe/Brussels,False,1056969563
1770415,Verrebroek,Verrebroek,,51.2553,4.1886,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,127.3,2033.0,2033.0,4,Europe/Brussels,False,1056654146
1770416,Viane,Viane,,50.7428,3.9297,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,293.4,1948.0,1948.0,3,Europe/Brussels,False,1056864122
1770417,Kessenich,Kessenich,,51.15,5.8167,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,190.2,1946.0,1946.0,3,Europe/Brussels,False,1056307779
1770418,Sint-Martens-Lierde,Sint-Martens-Lierde,Lierde-Saint-Martin,50.8043,3.8247,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,278.0,1918.0,1918.0,3,Europe/Brussels,False,1056516848
1770419,Bottelare,Bottelare,Bottelaere,50.9667,3.75,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,617.9,1860.0,1860.0,3,Europe/Brussels,False,1056761032
1770420,Waarloos,Waarloos,Waerloos,51.1038,4.4494,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,394.1,1860.0,1860.0,3,Europe/Brussels,False,1056473446
1770421,Esen,Esen,Eessen|Eesen,51.0333,2.9,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,106.0,1854.0,1854.0,4,Europe/Brussels,False,1056515453
1770422,Doornzele,Doornzele,,51.1431,3.7645,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,344.6,1847.0,1847.0,3,Europe/Brussels,False,1056756344
